Plant and animal cells are:, Eukaryotic, Prokaryotic, Nuclei
Eukaryotic cells have a:, Nucleus, Nucleoid, Capsule
Eukaryotic cells don't have:, Cell Wall, Cytoskeleton, Plasma Membrane
Eukaryotic cells have a diameter of:, 10 to 100 μm, 0.1 to 5.0 μm, 0.8 to 1.0 μm
Organized DNA strings in the nucleus of an animal cell:, Chromosomes, Vesicles, Microtubules
Plays a role in cell division and building microtubules:, Centrosome, Lysosomes and Peroxisomes, Ribosomes
Modifies sorts and packs proteins into transfer vesicles:, Golgi Apparatus, Mitochondria, Rough Endoplasmic Reticulum
Help remove waste and break down toxic compounds and recycle cell structures, Lysosomes and Peroxisomes, Smooth Endoplasmic Reticulum, Mitochondria
Generates energy for an animal cell:, Mitochondria, Ribosomes, Centrosome
Synthesizes proteins for an animal cell:, Ribosomes, Rough Endoplasmic Reticulum, Golgi Apparatus
Helps transport materials within the cell segregates newly-made proteins for transport by vesicles, Rough Endoplasmic Reticulum, Smooth Endoplasmic Reticulum, Lysosomes and Peroxisomes
Site of lipid synthesis, Smooth Endoplasmic Reticulum, Rough Endoplasmic Reticulum, Golgi Apparatus
Small membranous sacs that transport materials within the cell, Vesicles, Rough Endoplasmic Reticulum, Mitochondria
Plant cells use ___ to carry out photosynthesis., Chloroplasts, Chromosomes, Mitochondria
Plant and Animal cells both have a:, Nucleus, Cell wall, Smooth Endoplasmic Reticulum 
Channels that allow Plant cells to communicate:, Plasmodesmata, Chloroplasts, ATP
Plant cells produce glucose through photosynthesis and breaks it down through:, Cellular Respiration, ATP, Plasmodesmata
Most cells in the human body divide through:, mitosis, Plasmodesmata, ATP
Specialized sex cells can divide through:, meiosis, mitosis, Plasmodesmata
Jelly-like fluid (cytosol) and other structures around the nucleus, Cytoplasm, Cytoskeleton, Lysosomes and Peroxisomes
Network of long fibers that make up the cell's structural framework, Cytoskeleton, Cytoplasm, Lysosomes and Peroxisomes
Organelle that helps process molecules created by the cell, Endoplasmic Reticulum, Chloroplasts, Ribosomes
Packages molecules processed by the ER to be transported out of the cell, Golgi Apparatus, Plasma Membrane, Smooth Endoplasmic Reticulum
Organelles that are the recycling center of the cell, Lysosomes and Peroxisomes, Golgi Apparatus, Smooth Endoplasmic Reticulum
Organelles that convert energy from food into something a celll can use, Mitochondria, Plasma Membrane, Cytoplasm
Cell's command center. Also houses DNA, Nucleus, Nucleoid, ATP
Outer lining of the cell, Plasma Membrane, Smooth Endoplasmic Reticulum, Golgi Apparatus
*Which characteristic or function is not a property of life:, Virology, Order, Homeostasis
Which characteristic or function is not a property of life:, Phylogeneticism, Regulation, Energy Processing
Bacteria moving towards or away from chemicals is called:, Chemotaxis, phototaxis, Chemostasis
Bacteria moving towards or away from light is called:, Phototaxis, Chemotaxis, Photosynthesis
Regulatory mechanisms to coordinate internal functions:, Homeostasis, Energy Processing, Chemotaxis
Chemical structure consisting of at least two atoms held together by chemical bonds, Molecule, Polymer, Nucleus
Large molecules that are typically formed by polymerization, Macromolecules, Monomers, Organism
Deoxyribonucleic acid (DNA) is an example of a:, Macromolecule, Polymer, Monomer
Large molecule that is made by combining smaller units called monomers, Polymer, Macromolecule, Monomer
Aggregates of macromolecules surrounded by membranes within a cell:, Organelles, Tissues, Macromolecules
Smallest fundamental unit of structure and function in living organisms:, Cell, Atom, Polymer
Collections of tissues grouped together performing a common function:, Organ, Organelle, Tissue
Groups of similar cells carrying out similar or related functions:, Tissues, Organs, Macromolecule
Higher level of organization that consists of functionally related organs:, Organ Systems, Organisms, Macromolecule
Which is not an example of an organism:, Virus, Bacteria, Tree
Individuals of a species living within a specific area:, Population, Ecosystem, Community
Sum of populations inhabiting a particular area:, Community, Population, Ecosystem
Consists of all the living and nonliving things in a particular area, Ecosystem, Biosphere, Community
Collection of all ecosystems:, Biosphere, Population, Community
Life on Earth has evolved along three lineages called:, Domains, Eukarya, Protists
Organisms belonging to Archaea domain living under extreme conditions:, Extremophiles, Protists, Domains
Form of logical thinking that uses a general inclusive statement to forecast specific results:, Deductive Reasoning, Inductive Reasoning, Hypthesizing
Form of logical thinking that uses related observations to arrive at a general conclusion:, Inductive Reasoning, Deductive Reasonsing, Hypothesizing
Tested and confirmed explanation for observations or phenomena, Theory, Therom, Hypothesis
*Any substance that occupies space and has mass, Mass, Element, Domain
Forms of matter with properties that cannot break down by ordinary chemical reactions, Elements, Atoms, Mass
How many elements are there:, 118, 240, 98
How many elements occur naturally, 98, 118, 240
Smallest unit of matter that retains all of the element's chemical properties:, Atom, Nucleus, Proton
One atomic mass unit (amu) or one Dalton is approximately equal to one:, Proton, Electron, Atom
One atomic mass unit (amu) or one Dalton is approximately equal to one:, Neutron, Electron, Atom
Which part of an atom weighs the least?:, Electron, Proton, Nuetron
Solid objects do not pass through each other due to the charge of:, Protons, Electrons, Nuetrons
The number of ___ determines an elements atomic number, Protons, Electrons, Nuetrons
Different forms of the same atom that vary in the number of neutrons they possess:, Isotopes, Elements, Orbitals
The number of protons and neutrons determine an elements, Mass Number, Atomic Number, Atomic Mass
The calculated mean of the mass number for its naturally occurring isotopes, Atomic Mass, Atomic Number, Nucleur Weight
What determines the elements atomic number?, Protons, Nuetrons, Mean of Atomic Mass
Isotopes that emit neutrons protons and electrons and attain a more stable atomic configuration:, Radioisotopes, Orbitals, Fission Elements
Electrons or positrons emission, Beta Decay, Radioisotopes, Fission
Two or more atoms chemically bonded together, Molecules, Elements, Isotopes
Energy levels are designated by a number and the symbol:, N, E, Nutreno

